CustomerID,Recency,Frequency,Monetary,Segment_Name
16928.0,80,17,2814.7,VIP & Großhändler (Noise)
16919.0,156,11,2592.25,VIP & Großhändler (Noise)
17313.0,31,1,2328.84,VIP & Großhändler (Noise)
15235.0,218,12,2247.51,VIP & Großhändler (Noise)
14560.0,7,22,2237.77,VIP & Großhändler (Noise)
17406.0,333,3,2184.42,VIP & Großhändler (Noise)
14217.0,2,17,2004.98,VIP & Großhändler (Noise)
12349.0,19,1,1757.55,VIP & Großhändler (Noise)
15332.0,366,4,1661.06,VIP & Großhändler (Noise)
14573.0,180,9,1639.82,VIP & Großhändler (Noise)
17961.0,21,39,1296.44,VIP & Großhändler (Noise)
16794.0,1,10,1196.5,VIP & Großhändler (Noise)
16800.0,11,1,1162.65,VIP & Großhändler (Noise)
14344.0,127,8,889.9300000000001,VIP & Großhändler (Noise)
12713.0,1,1,848.55,VIP & Großhändler (Noise)
17114.0,6,8,801.12,VIP & Großhändler (Noise)
16725.0,302,7,758.27,VIP & Großhändler (Noise)
12478.0,4,1,680.99,VIP & Großhändler (Noise)
16892.0,1,5,518.19,VIP & Großhändler (Noise)
15471.0,2,1,454.48,VIP & Großhändler (Noise)
16500.0,5,6,400.86,VIP & Großhändler (Noise)
13298.0,1,1,360.0,VIP & Großhändler (Noise)
17835.0,3,3,342.24,VIP & Großhändler (Noise)
15107.0,311,6,319.5,VIP & Großhändler (Noise)
16668.0,15,6,306.71999999999997,VIP & Großhändler (Noise)
17266.0,2,3,296.58,VIP & Großhändler (Noise)
13592.0,36,4,247.95999999999998,VIP & Großhändler (Noise)
13079.0,4,5,220.10000000000002,VIP & Großhändler (Noise)
18273.0,2,3,204.0,VIP & Großhändler (Noise)
14385.0,9,3,202.11,VIP & Großhändler (Noise)
17988.0,12,7,201.12,VIP & Großhändler (Noise)
14287.0,8,3,176.63,VIP & Großhändler (Noise)
14798.0,53,3,173.74,VIP & Großhändler (Noise)
16462.0,74,3,136.0,VIP & Großhändler (Noise)
14836.0,10,3,102.44999999999999,VIP & Großhändler (Noise)
17024.0,45,3,95.85,VIP & Großhändler (Noise)
13666.0,60,3,84.65,VIP & Großhändler (Noise)
14785.0,10,2,77.4,VIP & Großhändler (Noise)
18037.0,154,6,70.02,VIP & Großhändler (Noise)
15863.0,26,2,68.84,VIP & Großhändler (Noise)
15516.0,45,3,62.43,VIP & Großhändler (Noise)
14865.0,7,2,52.2,VIP & Großhändler (Noise)
14682.0,188,2,52.0,VIP & Großhändler (Noise)
14300.0,19,1,43.2,VIP & Großhändler (Noise)
15992.0,4,1,41.989999999999995,VIP & Großhändler (Noise)
17816.0,37,4,36.56,VIP & Großhändler (Noise)
16856.0,15,1,35.400000000000006,VIP & Großhändler (Noise)
17831.0,33,1,35.400000000000006,VIP & Großhändler (Noise)
15657.0,23,1,30.0,VIP & Großhändler (Noise)
16953.0,30,1,20.8,VIP & Großhändler (Noise)
17986.0,56,1,20.8,VIP & Großhändler (Noise)
16093.0,107,1,17.0,VIP & Großhändler (Noise)
13307.0,120,1,15.0,VIP & Großhändler (Noise)
15823.0,372,1,15.0,VIP & Großhändler (Noise)
17763.0,263,1,15.0,VIP & Großhändler (Noise)
16878.0,84,1,13.3,VIP & Großhändler (Noise)
17956.0,249,1,12.75,VIP & Großhändler (Noise)
16454.0,45,2,6.9,VIP & Großhändler (Noise)
14792.0,64,1,6.2,VIP & Großhändler (Noise)
16738.0,298,1,3.75,VIP & Großhändler (Noise)
